region;value;age
Araba/Alava;3202;15
Asturias;7940;15
Avila;1383;15
Badajoz;6851;15
Balears Illes;11982;15
Barcelona;59869;15
Bizkaia;10742;15
Burgos;3137;15
Caceres;3697;15
Cadiz;14534;15
Cantabria;5544;15
Castellon/Castello;5942;15
CiudadReal;4917;15
Cordoba;8405;15
CoruaA;9308;15
Cuenca;1866;15
Gipuzkoa;7318;15
Girona;8515;15
Granada;10162;15
Guadalajara;2952;15
Huelva;5671;15
Huesca;2051;15
Jaen;6820;15
Leon;3664;15
Lleida;4351;15
Lugo;2279;15
Madrid;69801;15
Malaga;18323;15
Murcia;17561;15
Navarra;7085;15
Ourense;2216;15
Palencia;1303;15
PalmasLas;12428;15
Pontevedra;8724;15
Rioja La;3272;15
Salamanca;2912;15
Santa Cruz de Tenerife;10314;15
Segovia;1478;15
Sevilla;22261;15
Soria;801;15
Tarragona;8782;15
Teruel;1204;15
Toledo;7854;15
Valencia/Valencia;27254;15
Valladolid;4816;15
Zamora;1289;15
Zaragoza;9737;15
Ceuta;1174;15
Melilla;1194;15
Albacete;4045;16
Alicante/Alacant;18889;16
Almeria;7568;16
Araba/Alava;3099;16
Asturias;7749;16
Avila;1379;16
Badajoz;6927;16
Balears Illes;11775;16
Barcelona;58188;16
Bizkaia;10490;16
Burgos;3093;16
Caceres;3680;16
Cadiz;14134;16
Cantabria;5386;16
Castellon/Castello;5915;16
CiudadReal;4794;16
Cordoba;8327;16
CoruaA;9003;16
Cuenca;1934;16
Gipuzkoa;7095;16
Girona;8186;16
Granada;9958;16
Guadalajara;2935;16
Huelva;5598;16
Huesca;1982;16
Jaen;6754;16
Leon;3630;16
Lleida;4265;16
Lugo;2247;16
Madrid;67928;16
Malaga;17641;16
Murcia;17275;16
Navarra;6910;16
Ourense;2147;16
Palencia;1299;16
PalmasLas;12175;16
Pontevedra;8557;16
Rioja La;3125;16
Salamanca;2834;16
Santa Cruz de Tenerife;10342;16
Segovia;1473;16
Sevilla;21648;16
Soria;799;16
Tarragona;8580;16
Teruel;1172;16
Toledo;7535;16
Valencia/Valencia;26270;16
Valladolid;4733;16
Zamora;1300;16
Zaragoza;9508;16
Ceuta;1114;16
Melilla;1186;16
Albacete;4036;17
Alicante/Alacant;18510;17
Almeria;7550;17
Araba/Alava;3004;17
Asturias;7708;17
Avila;1417;17
Badajoz;6938;17
Balears Illes;11643;17
Barcelona;56817;17
Bizkaia;10259;17
Burgos;3102;17
Caceres;3725;17
Cadiz;13932;17
Cantabria;5202;17
Castellon/Castello;5814;17
CiudadReal;4844;17
Cordoba;8245;17
CoruaA;8904;17
Cuenca;1969;17
Gipuzkoa;6894;17
Girona;7980;17
Granada;10012;17
Guadalajara;2800;17
Huelva;5546;17
Huesca;2035;17
Jaen;6690;17
Leon;3578;17
Lleida;4357;17
Lugo;2198;17
Madrid;66268;17
Malaga;17229;17
Murcia;17045;17
Navarra;6768;17
Ourense;2066;17
Palencia;1311;17
PalmasLas;12215;17
Pontevedra;8484;17
Rioja La;2973;17
Salamanca;2805;17
Santa Cruz de Tenerife;10459;17
Segovia;1481;17
Sevilla;21144;17
Soria;786;17
Tarragona;8362;17
Teruel;1196;17
Toledo;7288;17
Valencia/Valencia;25588;17
Valladolid;4584;17
Zamora;1274;17
Zaragoza;9345;17
Ceuta;1048;17
Melilla;1143;17
Albacete;4146;18
Alicante/Alacant;18519;18
Almeria;7700;18
Araba/Alava;2999;18
Asturias;7806;18
Avila;1468;18
Badajoz;7001;18
Balears Illes;11685;18
Barcelona;56903;18
Bizkaia;10198;18
Burgos;3147;18
Caceres;3865;18
Cadiz;13883;18
Cantabria;5186;18
Castellon/Castello;5724;18
CiudadReal;4984;18
Cordoba;8368;18
CoruaA;9072;18
Cuenca;1983;18
Gipuzkoa;6865;18
Girona;8094;18
Granada;10201;18
Guadalajara;2804;18
Huelva;5571;18
Huesca;2049;18
Jaen;6834;18
Leon;3637;18
Lleida;4467;18
Lugo;2336;18
Madrid;65975;18
Malaga;17162;18
Murcia;17058;18
Navarra;6846;18
Ourense;2134;18
Palencia;1313;18
PalmasLas;12383;18
Pontevedra;8456;18
Rioja La;2987;18
Salamanca;2850;18
Santa Cruz de Tenerife;10621;18
Segovia;1496;18
Sevilla;21204;18
Soria;848;18
Tarragona;8355;18
Teruel;1284;18
Toledo;7326;18
Valencia/Valencia;25848;18
Valladolid;4564;18
Zamora;1322;18
Zaragoza;9261;18
Ceuta;1051;18
Melilla;1181;18
Albacete;4211;19
Alicante/Alacant;18340;19
Almeria;7781;19
Araba/Alava;2981;19
Asturias;7763;19
Avila;1489;19
Badajoz;7070;19
Balears Illes;11715;19
Barcelona;56947;19
Bizkaia;10131;19
Burgos;3207;19
Caceres;3875;19
Cadiz;13662;19
Cantabria;5146;19
Castellon/Castello;5718;19
CiudadReal;5114;19
Cordoba;8429;19
CoruaA;8973;19
Cuenca;2038;19
Gipuzkoa;6862;19
Girona;7994;19
Granada;10149;19
Guadalajara;2782;19
Huelva;5569;19
Huesca;2051;19
Jaen;7139;19
Leon;3645;19
Lleida;4450;19
Lugo;2390;19
Madrid;65909;19
Malaga;17007;19
Murcia;16776;19
Navarra;6887;19
Ourense;2169;19
Palencia;1348;19
PalmasLas;12411;19
Pontevedra;8408;19
Rioja La;3025;19
Salamanca;2890;19
